title;sequence;time_left;bids;price
فولكس واجن جولف 2015;564360;13د :;16;1700
تويوتا افالون 2013;564369;13د :;105;10500
فولكس واجن جيتا 2014;568112;13د :;37;4100
نيسان تيدا 2008;565754;13د :;17;2100
فيكتوري SCH5022XXYD 2022;568115;13د :;49;5000
بي ام دبليو اكس 5 2018;564383;13د :;115;17600
هيونداي جيتز 2005;564385;13د :;7;800
ميتسوبيشي اوتلاندر 2019;564389;14د :;58;10100
جاك S4 2023;565753;14د :;25;5400
بنتلى بنتايغا 2017;564352;14د :;214;61100
سوزوكي ارتيجا 2023;565761;14د :;68;13700
جيب رانجلر 2014;564348;14د :;50;16600
ماكسوس في 80 2023;564351;14د :;31;4600
زووم X10 2025;567285;14د :;64;9500
ام جي 5 2024;567774;14د :;94;23400
جاك جيه 7 2023;564391;14د :;30;3100
تويوتا C-HR 2020;566772;14د :;81;30200
نيسان تيدا 2011;565755;14د :;24;3000
مرسيدس جي إل سي 300 2022;564368;14د :;174;36600
اودي كيو 5 2023;564388;14د :;69;31200
ماهيندرا اسكربيو 2023;567771;14د :;164;16600
تويوتا سيكويا 2012;565745;14د :;69;7000
فورد اسكيب 2008;564342;14د :;19;2000
جاكوار اكس جا 6 2015;564373;14د :;24;4600
تويوتا ريز 2022;564386;14د :;118;18600
لينكولن نافيجيتور 2020;564384;14د :;209;76600
تويوتا كامري 2013;565746;14د :;52;7400
زووم Scissor Lift X13000D 2025;567284;14د :;84;21900
تويوتا كامري 2011;565762;14د :;49;6400
فريرا CQ45R 2025;567289;14د :;38;3900
لكزس ES 300 H Premier 2019;568110;14د :;111;28100
نيسان تيدا 2009;564343;14د :;18;1900
ميتسوبيشي اوتلاندر 2023;565760;14د :;171;26100
تويوتا راف 4 2022;566780;14د :;234;49600
فورد تيريتوري 2024;566482;14د :;164;28600
بي ام دبليو X2 2020;565773;15د :;51;11600
جي ام سي اكاديا 2012;564355;15د :;28;2900
هيونداي سانتا في 2020;564364;15د :;105;21600
تيسلا موديل إكس 2023;564393;15د :;99;48200
تويوتا فورتشنر 2015;564374;15د :;56;11200
تويوتا راف 4 2022;566774;15د :;369;50000
تويوتا كامري 2017;565775;15د :;74;9700
هيونداي ازيرا 2016;565759;15د :;64;6500
نيسان كيكس 2021;565757;15د :;79;21800
جاك JS4 2023;564379;15د :;67;6800
فولكس واجن طوارق 2012;565752;15د :;26;2900
كيا سبورتيج 2009;564362;15د :;17;1800
اودي ايه 6 2015;565756;15د :;15;1600
نيسان تيدا 2009;564345;15د :;20;2100
هوندا بايلوت 2014;564347;15د :;71;7100
تويوتا فورتشنر 2014;564346;15د :;174;36900
تويوتا راف 4 2020;566776;15د :;233;42900
تويوتا Wish 2016;565763;15د :;56;5700
بي ام دبليو اكس 5 2015;567762;15د :;43;17200
زووم W120 2025;567287;15د :;98;25100
تويوتا راف 4 2021;566778;15د :;163;39600
رنج روفر فوج 2016;567769;15د :;159;36300
بي ام دبليو 440 i 2016;564387;15د :;90;9200
فورد موستانج 2014;565771;15د :;138;14900
تويوتا راف 4 2021;566773;15د :;215;48500
ام جي HS 2021;564380;15د :;23;15400
نيسان كيكس 2021;565758;15د :;106;16800
شيفروليه ماليبو 2017;564370;15د :;30;3600
لكزس ES 300 H Premier 2019;568109;15د :;69;25400
ام جي ZS 2024;564366;15د :;82;17300
مازيراتي ليفانتي 2020;564363;16د :;60;12200
نيسان صني 2009;565768;16د :;16;1700
ام جي 5 2024;567766;16د :;98;25100
شيفروليه كروز 2017;567773;16د :;25;4300
جاك S4 2023;565772;16د :;21;6500
تاتا بريما 2017;565749;16د :;87;31300
تويوتا كامري 2011;565748;16د :;35;3600
اودي اس 3 2019;564349;16د :;44;14100
نيسان سينترا 2022;564390;16د :;57;6400
بي ام دبليو اكس 5 2023;564356;16د :;267;75100
فيكتوري V1 2021;568114;16د :;50;5100
تويوتا اف جى كروزر 2009;565770;16د :;77;12400
لكزس ES 300H 2023;565774;16د :;180;22900
كاديلاك CT 5 2023;568108;16د :;17;5000
نيسان صني 2016;565751;16د :;60;6500
زووم X9000 رافعه مقصيه 2025;564861;16د :;74;11700
أكس ليفت XL900 2025;567286;16د :;80;11100
فورد CARGO 1843 2016;567761;16د :;143;27500
تويوتا كورولا 2015;564359;16د :;44;9900
نيسان اكستيرا 2011;565750;16د :;29;4600
تويوتا راف 4 2021;566777;16د :;177;39100
فريرا CQ45R 2025;566324;22س :;0;100
نيسان باترول 2025;567144;22س :;41;150200
زووم X10 2025;567288;22س :;1;200
زووم رافعه كهربائية 2025;567681;22س :;1;500
مولد Osaka SQ10000 2025;567682;22س :;1;200
مولد ساكي SS30 2025;567683;22س :;2;300
أكس ليفت XL900 2025;567684;22س :;0;100
مولد ساكي SS60 2025;567685;22س :;7;800
نيسان صني 2014;564483;3ي :;1;5600
مرسيدس EQS 580 2022;566818;3ي :;2;300
مرسيدس EQS 580 2022;566820;3ي :;2;300
مرسيدس EQS 580 2022;566821;3ي :;3;10000
تويوتا هايس 2009;567179;3ي :;1;200
جيب جراند شيروكي 2003;567376;3ي :;0;2500
